,date,Origin,ArrDelay
50,2002-11-30,ATL,1.1318636732485798
51,2002-11-30,DFW,-5.926814505034942
52,2002-11-30,LAX,-3.249936153911637
53,2002-11-30,ORD,-2.862524345636787
54,2002-11-30,STL,-5.755208333333333
55,2002-12-31,ATL,3.1901015399098918
56,2002-12-31,DFW,-2.0231007255655142
57,2002-12-31,LAX,-1.6232780664851933
58,2002-12-31,ORD,0.022545488563543666
59,2002-12-31,STL,-2.585638998682477
0,2003-01-31,ATL,0.40554857950086326
1,2003-01-31,DFW,-4.661882048767441
2,2003-01-31,LAX,-1.470481144343303
3,2003-01-31,ORD,-2.459778507971279
4,2003-01-31,STL,-6.345873175641671
5,2003-02-28,ATL,3.089132169133942
6,2003-02-28,DFW,-1.4673077928186902
7,2003-02-28,LAX,-3.193583827730169
8,2003-02-28,ORD,-0.8617811611483078
9,2003-02-28,STL,-1.32648401826484
10,2003-03-31,ATL,2.861757361975348
11,2003-03-31,DFW,-4.688838782412627
12,2003-03-31,LAX,-1.9406024885396203
13,2003-03-31,ORD,-0.8349762837698494
14,2003-03-31,STL,-6.791112259398011
15,2003-04-30,ATL,-1.2285499874927042
16,2003-04-30,DFW,-3.4038533134772897
17,2003-04-30,LAX,-5.6108254585881046
18,2003-04-30,ORD,-2.92147636520613
19,2003-04-30,STL,-6.223108127010771
20,2003-05-31,ATL,3.091812222629372
21,2003-05-31,DFW,-2.0986659503984244
22,2003-05-31,LAX,-5.0922038474519065
23,2003-05-31,ORD,-1.0271464909720196
24,2003-05-31,STL,-4.395495243424734
25,2003-06-30,ATL,5.517702237164322
26,2003-06-30,DFW,1.8841310968680394
27,2003-06-30,LAX,-2.81991624011168
28,2003-06-30,ORD,-1.1683797729618164
29,2003-06-30,STL,-2.2108392091801465
30,2003-07-31,ATL,8.96145152175668
31,2003-07-31,DFW,2.1599156488884983
32,2003-07-31,LAX,-1.3016475736903077
33,2003-07-31,ORD,4.130525369719749
34,2003-07-31,STL,-2.7731002017484867
